rowNumber,sourceGroup,provider,dataset,file,bytes,coverage,confidence,theme,roiScore,duplicateGroupSize,recommendedAction,recommendedPlacement,needsUserDecision,iaItem,rawViewport,cleanedBundle,evidence,url,raw
661,data.gov.ie,Roscommon County Council,settlement-boundaries-roscommon-cdp-2022-2028,shapefile,102255,not-found-in-site-manifests,none,administrative-boundaries,95,1,new-interactive-map-candidate-high-priority,Browse maps plus MapLibre conversion after geometry validation,no,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only for generated PMTiles/metadata after conversion; raw file stays IA-hotlinked,,,Roscommon County Council\settlement-boundaries-roscommon-cdp-2022-2028\shapefile
662,data.gov.ie,Roscommon County Council,settlement-flood-zones-roscommon-cdp-2022-2028,shapefile,327045,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\settlement-flood-zones-roscommon-cdp-2022-2028\shapefile
663,data.gov.ie,Roscommon County Council,sports-facilities-roscommon5,shapefile,8919,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\sports-facilities-roscommon5\shapefile
664,data.gov.ie,Roscommon County Council,strokestown-lap-2014-2020-expired-roscommon6,shapefile,66246,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\strokestown-lap-2014-2020-expired-roscommon6\shapefile
665,data.gov.ie,Roscommon County Council,thatch-building-survey-roscommon6,shapefile,3145,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\thatch-building-survey-roscommon6\shapefile
666,data.gov.ie,Roscommon County Council,tourism-attractions-roscommon5,shapefile,3625,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\tourism-attractions-roscommon5\shapefile
667,data.gov.ie,Roscommon County Council,town-core-residential-opportunity-sites-roscommon-cdp-2022-2028,shapefile,4342,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\town-core-residential-opportunity-sites-roscommon-cdp-2022-2028\shapefile
668,data.gov.ie,Roscommon County Council,treelines,shapefile,35703,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\treelines\shapefile
669,data.gov.ie,Roscommon County Council,vacant-site-levies-roscommon-cdp-2022-2028,shapefile,39480,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\vacant-site-levies-roscommon-cdp-2022-2028\shapefile
670,data.gov.ie,Roscommon County Council,water-district-areas-roscommon5,shapefile,92343,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\water-district-areas-roscommon5\shapefile
671,data.gov.ie,Roscommon County Council,wildlife-corridors,shapefile,328611,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\wildlife-corridors\shapefile
672,data.gov.ie,Roscommon County Council,wind-energy-development-potential-roscommon-cdp-2014-2020-expired,shapefile,526967,not-found-in-site-manifests,none,planning-development,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\wind-energy-development-potential-roscommon-cdp-2014-2020-expired\shapefile
673,data.gov.ie,Roscommon County Council,winter-service-plan-routes-roscommon6,shapefile,110849,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,Roscommon County Council\winter-service-plan-routes-roscommon6\shapefile
674,data.gov.ie,South Dublin County Council,accessible-parking-spaces,shapefile,5507,confirmed-interactive-or-geospatial,high,heritage-public-assets,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:dcc-accessible-parking-spaces,,South Dublin County Council\accessible-parking-spaces\shapefile
675,data.gov.ie,South Dublin County Council,accessible-parking-spaces-sdcc3,shapefile,7220,probable-interactive-or-geospatial,medium,heritage-public-assets,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:dcc-accessible-parking-spaces,,South Dublin County Council\accessible-parking-spaces-sdcc3\shapefile
676,data.gov.ie,South Dublin County Council,aie-disclosure-log-sdcc,shapefile,8885,probable-source-or-download-record,medium,general-open-data,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,source-detail:approved-variant:source-doc-01024-aie-disclosure-logs-dlr:database-map-dlr-wifi4eu-access-points:265,,South Dublin County Council\aie-disclosure-log-sdcc\shapefile
677,data.gov.ie,South Dublin County Council,all-weather-pitches-sdcc1,shapefile,3537,probable-interactive-or-geospatial,medium,general-open-data,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,maplibre-layer:dcc-parks-and-open-spaces-vector-test,,South Dublin County Council\all-weather-pitches-sdcc1\shapefile
678,data.gov.ie,South Dublin County Council,appendix-1-annual-budget-2017-sdcc1,shapefile,3680,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\appendix-1-annual-budget-2017-sdcc1\shapefile
679,data.gov.ie,South Dublin County Council,appendix-1-annual-budget-2025-sdcc2,shapefile,1567,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\appendix-1-annual-budget-2025-sdcc2\shapefile
680,data.gov.ie,South Dublin County Council,appendix-1-annual-budget-2026-sdcc,shapefile,1781,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\appendix-1-annual-budget-2026-sdcc\shapefile
681,data.gov.ie,South Dublin County Council,appendix-2-annual-budget-2016-sdcc1,shapefile,3515,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\appendix-2-annual-budget-2016-sdcc1\shapefile
682,data.gov.ie,South Dublin County Council,appendix-2-annual-budget-2017-sdcc1,shapefile,3506,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\appendix-2-annual-budget-2017-sdcc1\shapefile
683,data.gov.ie,South Dublin County Council,appendix-2-annual-budget-2019-sdcc3,shapefile,3478,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\appendix-2-annual-budget-2019-sdcc3\shapefile
684,data.gov.ie,South Dublin County Council,appendix-2-annual-budget-2025-sdcc,shapefile,1465,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\appendix-2-annual-budget-2025-sdcc\shapefile
685,data.gov.ie,South Dublin County Council,appendix-2-annual-budget-2026-sdcc,shapefile,1984,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\appendix-2-annual-budget-2026-sdcc\shapefile
686,data.gov.ie,South Dublin County Council,architectural-conservation-areas-south-dublin-county-development-plan-2022-to-2028-sdcc1,shapefile,30818,not-found-in-site-manifests,none,planning-development,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\architectural-conservation-areas-south-dublin-county-development-plan-2022-to-2028-sdcc1\shapefile
687,data.gov.ie,South Dublin County Council,athletic-tracks-sdcc1,shapefile,2958,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\athletic-tracks-sdcc1\shapefile
688,data.gov.ie,South Dublin County Council,attenuation-pond,shapefile,6016,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\attenuation-pond\shapefile
689,data.gov.ie,South Dublin County Council,aviation-safeguarding-ad,shapefile,110363,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\aviation-safeguarding-ad\shapefile
690,data.gov.ie,South Dublin County Council,bicycle-maintenance-stands-sdcc1,shapefile,2683,probable-interactive-or-geospatial,medium,transport-infrastructure,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:dlr-bicycle-maintenance-stands,,South Dublin County Council\bicycle-maintenance-stands-sdcc1\shapefile
691,data.gov.ie,South Dublin County Council,bicycle-parking-stands-sdcc2,shapefile,4324,probable-interactive-or-geospatial,medium,transport-infrastructure,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:dlr-bicycle-parking-stands,,South Dublin County Council\bicycle-parking-stands-sdcc2\shapefile
692,data.gov.ie,South Dublin County Council,bowling-green-sdcc1,shapefile,2770,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\bowling-green-sdcc1\shapefile
693,data.gov.ie,South Dublin County Council,bring-centre-network-sdcc,shapefile,5722,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\bring-centre-network-sdcc\shapefile
694,data.gov.ie,South Dublin County Council,bulb-areas,shapefile,20589,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\bulb-areas\shapefile
695,data.gov.ie,South Dublin County Council,burial-grounds-sdcc,shapefile,4131,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\burial-grounds-sdcc\shapefile
696,data.gov.ie,South Dublin County Council,calisthenics-sdcc1,shapefile,2738,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\calisthenics-sdcc1\shapefile
697,data.gov.ie,South Dublin County Council,casual-trading-sdcc1,shapefile,3321,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\casual-trading-sdcc1\shapefile
698,data.gov.ie,South Dublin County Council,certificate-of-registration-locations-sdcc1,shapefile,4461,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,image viewport,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\certificate-of-registration-locations-sdcc1\shapefile
699,data.gov.ie,South Dublin County Council,christmas-tree-recycling-points-2025-sdcc,shapefile,3289,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\christmas-tree-recycling-points-2025-sdcc\shapefile
700,data.gov.ie,South Dublin County Council,commencement-notices-2025-sdcc,shapefile,46454,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\commencement-notices-2025-sdcc\shapefile
701,data.gov.ie,South Dublin County Council,community-arts-culture-libraries-sdcc,shapefile,4020,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\community-arts-culture-libraries-sdcc\shapefile
702,data.gov.ie,South Dublin County Council,community-health-wellbeing-sdcc,shapefile,5858,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\community-health-wellbeing-sdcc\shapefile
703,data.gov.ie,South Dublin County Council,councillor-allowance-and-expenses-q1-2025-sdcc,shapefile,2970,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\councillor-allowance-and-expenses-q1-2025-sdcc\shapefile
704,data.gov.ie,South Dublin County Council,councillor-allowance-and-expenses-q2-2025-sdcc,shapefile,3080,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\councillor-allowance-and-expenses-q2-2025-sdcc\shapefile
705,data.gov.ie,South Dublin County Council,councillor-allowance-and-expenses-q3-2025-sdcc,shapefile,2711,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\councillor-allowance-and-expenses-q3-2025-sdcc\shapefile
706,data.gov.ie,South Dublin County Council,councillor-allowance-and-expenses-q4-2025-sdcc,shapefile,2779,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\councillor-allowance-and-expenses-q4-2025-sdcc\shapefile
707,data.gov.ie,South Dublin County Council,cricket-pitches-sdcc1,shapefile,2865,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\cricket-pitches-sdcc1\shapefile
708,data.gov.ie,South Dublin County Council,cycleways-sdcc3,shapefile,153328,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\cycleways-sdcc3\shapefile
709,data.gov.ie,South Dublin County Council,dail-constituencies-2013-sdcc1,shapefile,126866,probable-source-or-download-record,medium,electoral-geography,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,source-detail:election-source:dail-eireann__2016-02-26,,South Dublin County Council\dail-constituencies-2013-sdcc1\shapefile
710,data.gov.ie,South Dublin County Council,decarbonising-zones-sdcc,shapefile,96893,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\decarbonising-zones-sdcc\shapefile
711,data.gov.ie,South Dublin County Council,derelict-sites-register-sdcc1,shapefile,5826,probable-interactive-or-geospatial,medium,general-open-data,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:dlr-derelict-sites-register,,South Dublin County Council\derelict-sites-register-sdcc1\shapefile
712,data.gov.ie,South Dublin County Council,detention-basin,shapefile,6320,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\detention-basin\shapefile
713,data.gov.ie,South Dublin County Council,display-energy-certs-2025-sdcc,shapefile,4313,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\display-energy-certs-2025-sdcc\shapefile
714,data.gov.ie,South Dublin County Council,enterprise1,shapefile,3492,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\enterprise1\shapefile
715,data.gov.ie,South Dublin County Council,exercise-equipment-sdcc1,shapefile,3723,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\exercise-equipment-sdcc1\shapefile
716,data.gov.ie,South Dublin County Council,fairy-trails-sdcc1,shapefile,2955,not-found-in-site-manifests,none,transport-infrastructure,78,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\fairy-trails-sdcc1\shapefile
717,data.gov.ie,South Dublin County Council,foi-disclosure-log-sdcc,shapefile,95238,probable-source-or-download-record,medium,general-open-data,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,source-detail:approved-variant:source-doc-02921-foi-disclosure-log-2022-dlr:browse-map-dlr-dlr-development-plan-2016-2022-zoning-objectives:336,,South Dublin County Council\foi-disclosure-log-sdcc\shapefile
718,data.gov.ie,South Dublin County Council,gaa-pitches-sdcc1,shapefile,8490,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\gaa-pitches-sdcc1\shapefile
719,data.gov.ie,South Dublin County Council,goparkit-zones-1-80k,shapefile,8990,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\goparkit-zones-1-80k\shapefile
720,data.gov.ie,South Dublin County Council,green-schools-2024-2025-sdcc,shapefile,5635,not-found-in-site-manifests,none,heritage-public-assets,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\green-schools-2024-2025-sdcc\shapefile
721,data.gov.ie,South Dublin County Council,housing-completions-sdcc,shapefile,1598,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\housing-completions-sdcc\shapefile
722,data.gov.ie,South Dublin County Council,integrated-constructed-wetland,shapefile,6495,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\integrated-constructed-wetland\shapefile
723,data.gov.ie,South Dublin County Council,junctions-and-pedestrian-crossings-sdcc1,shapefile,17881,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\junctions-and-pedestrian-crossings-sdcc1\shapefile
724,data.gov.ie,South Dublin County Council,leisure-centres1,shapefile,4758,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\leisure-centres1\shapefile
725,data.gov.ie,South Dublin County Council,library-services-sdcc3,shapefile,4131,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\library-services-sdcc3\shapefile
726,data.gov.ie,South Dublin County Council,loading-bay-locations-sdcc1,shapefile,3488,not-found-in-site-manifests,none,general-open-data,55,1,source-download-first,IA-backed source/download record; convert only after demand or clear map value,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,South Dublin County Council\loading-bay-locations-sdcc1\shapefile
