DZ21,ten_owner,ten_social,ten_private
N20003284,0.534,0.297,0.169
N20003285,0.671,0.029,0.3
N20003286,0.726,0.011,0.263
N20003287,0.758,0.009,0.233
N20003288,0.885,0.0,0.115
N20003289,0.791,0.029,0.18
N20003290,0.867,0.021,0.113
N20003291,0.863,0.005,0.132
N20003292,0.861,0.0,0.139
N20003293,0.852,0.004,0.144
N20003294,0.753,0.022,0.226
N20003295,0.84,0.0,0.16
N20003296,0.739,0.076,0.185
N20003297,0.646,0.049,0.305
N20003298,0.757,0.012,0.231
N20003299,0.51,0.069,0.42
N20003300,0.806,0.0,0.194
N20003301,0.36,0.236,0.404
N20003302,0.419,0.315,0.267
N20003303,0.324,0.396,0.28
N20003304,0.53,0.147,0.323
N20003305,0.434,0.171,0.395
N20003306,0.58,0.043,0.377
N20003307,0.787,0.013,0.2
N20003308,0.691,0.036,0.273
N20003309,0.735,0.032,0.233
N20003310,0.778,0.005,0.217
N20003311,0.803,0.123,0.074
N20003312,0.815,0.051,0.134
N20003313,0.892,0.0,0.108
N20003314,0.912,0.007,0.08
N20003315,0.66,0.134,0.206
N20003316,0.917,0.008,0.076
N20003317,0.902,0.01,0.088
N20003318,0.577,0.123,0.299
N20003319,0.896,0.003,0.101
N20003320,0.918,0.0,0.082
N20003321,0.907,0.008,0.085
N20003322,0.869,0.025,0.106
N20003323,0.907,0.0,0.093
N20003324,0.853,0.014,0.133
N20003325,0.851,0.027,0.122
N20003326,0.832,0.036,0.132
N20003327,0.877,0.022,0.101
N20003328,0.868,0.011,0.121
N20003329,0.608,0.144,0.249
N20003330,0.709,0.075,0.216
N20003331,0.856,0.005,0.139
N20003332,0.742,0.011,0.247
N20003333,0.784,0.07,0.146
N20003334,0.674,0.016,0.31
N20003335,0.708,0.038,0.255
N20003336,0.821,0.03,0.149
N20003337,0.881,0.004,0.115
N20003338,0.683,0.026,0.291
N20003339,0.473,0.314,0.213
N20003340,0.637,0.099,0.263
N20003341,0.484,0.125,0.39
N20003342,0.56,0.166,0.274
N20003343,0.558,0.214,0.228
N20003344,0.78,0.05,0.17
N20003345,0.595,0.137,0.268
N20003346,0.388,0.489,0.122
N20003347,0.885,0.005,0.109
N20003348,0.677,0.0,0.323
N20003349,0.734,0.051,0.215
N20003350,0.629,0.106,0.265
N20003351,0.947,0.0,0.053
N20003352,0.904,0.005,0.091
N20003353,0.63,0.22,0.15
N20003354,0.895,0.006,0.099
N20003355,0.901,0.023,0.077
N20003356,0.874,0.0,0.126
N20003357,0.801,0.063,0.136
N20003358,0.852,0.053,0.095
N20003359,0.854,0.005,0.141
N20003360,0.907,0.0,0.093
N20003361,0.882,0.0,0.118
N20003362,0.916,0.0,0.084
N20003363,0.953,0.0,0.047
N20003364,0.425,0.331,0.244
N20003365,0.782,0.019,0.199
N20003366,0.761,0.038,0.201
N20003367,0.788,0.009,0.204
N20003368,0.43,0.363,0.207
N20003369,0.394,0.452,0.154
N20003370,0.946,0.004,0.05
N20003371,0.843,0.028,0.13
N20003372,0.397,0.255,0.348
N20003373,0.67,0.02,0.31
N20003374,0.372,0.189,0.439
N20003375,0.5,0.107,0.393
N20003376,0.44,0.126,0.434
N20003377,0.434,0.383,0.183
N20003378,0.379,0.315,0.306
N20003379,0.247,0.556,0.197
N20003380,0.444,0.321,0.235
N20003381,0.899,0.005,0.095
N20003382,0.71,0.062,0.228
N20003383,0.798,0.062,0.14
N20003384,0.598,0.137,0.265
N20003385,0.845,0.005,0.149
N20003386,0.735,0.118,0.147
N20003387,0.835,0.022,0.143
N20003388,0.542,0.155,0.303
N20003389,0.808,0.012,0.18
N20003390,0.886,0.007,0.107
N20003391,0.711,0.081,0.209
N20003392,0.898,0.009,0.094
N20003393,0.804,0.027,0.17
N20003394,0.819,0.083,0.097
N20003395,0.893,0.012,0.094
N20003396,0.81,0.05,0.14
N20003397,0.792,0.04,0.168
N20003398,0.909,0.048,0.042
N20003399,0.924,0.004,0.071
N20003400,0.938,0.0,0.062
N20003401,0.588,0.111,0.302
N20003402,0.9,0.006,0.094
N20003403,0.383,0.315,0.302
N20003404,0.242,0.268,0.49
N20003405,0.904,0.018,0.078
N20003406,0.316,0.301,0.383
N20003407,0.473,0.285,0.242
N20003408,0.114,0.543,0.343
N20003409,0.693,0.071,0.236
N20003410,0.4,0.195,0.405
N20003411,0.654,0.031,0.315
N20003412,0.771,0.012,0.217
N20003413,0.456,0.184,0.359
N20003414,0.855,0.02,0.125
N20003415,0.549,0.286,0.165
N20003416,0.19,0.563,0.247
N20003417,0.381,0.257,0.363
N20003418,0.811,0.011,0.177
N20003419,0.226,0.541,0.233
N20003420,0.67,0.036,0.294
N20003421,0.89,0.008,0.102
N20003422,0.847,0.015,0.138
N20003423,0.872,0.019,0.109
N20003424,0.862,0.016,0.122
N20003425,0.444,0.373,0.183
N20003426,0.43,0.468,0.101
N20003427,0.507,0.0,0.493
N20003428,0.587,0.153,0.26
N20003429,0.801,0.062,0.137
N20003430,0.545,0.162,0.293
N20003431,0.574,0.071,0.355
N20003432,0.864,0.0,0.136
N20003433,0.888,0.017,0.095
N20003434,0.921,0.0,0.079
N20003435,0.962,0.0,0.038
N20003436,0.661,0.203,0.137
N20003437,0.906,0.005,0.089
N20003438,0.833,0.098,0.069
N20003439,0.935,0.007,0.058
N20003440,0.186,0.67,0.144
N20003441,0.378,0.512,0.11
N20003442,0.776,0.147,0.077
N20003443,0.578,0.037,0.385
N20003444,0.287,0.58,0.133
N20003445,0.341,0.57,0.089
N20003446,0.46,0.167,0.374
N20003447,0.813,0.151,0.036
N20003448,0.944,0.0,0.056
N20003449,0.403,0.236,0.361
N20003450,0.443,0.43,0.127
N20003451,0.595,0.037,0.367
N20003452,0.802,0.005,0.193
N20003453,0.96,0.0,0.04
N20003454,0.953,0.0,0.047
N20003455,0.965,0.014,0.021
N20003456,0.861,0.015,0.124
N20003457,0.813,0.074,0.113
N20003458,0.931,0.023,0.046
N20003459,0.899,0.013,0.089
N20003460,0.83,0.051,0.119
N20003461,0.902,0.008,0.09
N20003462,0.926,0.008,0.066
N20003463,0.937,0.023,0.04
N20003464,0.832,0.008,0.16
N20003465,0.55,0.319,0.131
N20003466,0.939,0.0,0.061
N20003467,0.911,0.0,0.089
N20003468,0.917,0.017,0.066
N20003469,0.889,0.003,0.108
N20003470,0.891,0.032,0.077
N20003471,0.932,0.0,0.068
N20003472,0.697,0.14,0.163
N20003473,0.911,0.017,0.072
N20003474,0.952,0.0,0.048
N20003475,0.913,0.013,0.074
N20003476,0.948,0.004,0.048
N20003477,0.955,0.0,0.045
N20003478,0.951,0.005,0.044
N20003479,0.941,0.0,0.059
N20003480,0.938,0.005,0.056
N20003481,0.972,0.0,0.028
N20003482,0.888,0.005,0.107
N20003483,0.899,0.005,0.095
N20003484,0.956,0.0,0.044
N20003485,0.286,0.627,0.087
N20003486,0.305,0.559,0.136
N20003487,0.909,0.049,0.042
N20003488,0.881,0.008,0.111
N20003489,0.886,0.028,0.085
N20003490,0.859,0.08,0.061
N20003491,0.857,0.004,0.139
N20003492,0.896,0.007,0.096
N20003493,0.439,0.322,0.239
N20003494,0.905,0.005,0.09
N20003495,0.384,0.389,0.227
N20003496,0.898,0.008,0.094
N20003497,0.911,0.0,0.089
N20003498,0.929,0.0,0.071
N20003499,0.266,0.35,0.384
N20003500,0.38,0.277,0.343
N20003501,0.908,0.0,0.092
N20003502,0.765,0.068,0.167
N20003503,0.31,0.297,0.393
N20003504,0.339,0.237,0.424
N20003505,0.54,0.22,0.241
N20003506,0.444,0.419,0.137
N20003507,0.92,0.006,0.074
N20003508,0.964,0.0,0.036
N20003509,0.229,0.304,0.467
N20003510,0.12,0.735,0.145
N20003511,0.799,0.0,0.201
N20003512,0.385,0.414,0.201
N20003513,0.23,0.372,0.399
N20003514,0.898,0.035,0.067
N20003515,0.216,0.667,0.118
N20003516,0.526,0.229,0.245
N20003517,0.512,0.38,0.109
N20003518,0.41,0.258,0.332
N20003519,0.72,0.143,0.137
N20003520,0.269,0.637,0.094
N20003521,0.323,0.515,0.162
N20003522,0.813,0.0,0.187
N20003523,0.855,0.013,0.132
N20003524,0.597,0.233,0.17
N20003525,0.938,0.0,0.062
N20003526,0.426,0.415,0.16
N20003527,0.22,0.694,0.087
N20003528,0.972,0.0,0.028
N20003529,0.44,0.126,0.434
N20003530,0.912,0.0,0.088
N20003531,0.175,0.698,0.127
N20003532,0.264,0.599,0.136
N20003533,0.328,0.498,0.174
N20003534,0.363,0.458,0.179
N20003535,0.83,0.026,0.145
N20003536,0.879,0.004,0.117
N20003537,0.924,0.0,0.076
N20003538,0.897,0.005,0.098
N20003539,0.873,0.006,0.12
N20003540,0.902,0.006,0.091
N20003541,0.893,0.021,0.086
N20003542,0.928,0.0,0.072
N20003543,0.717,0.202,0.081
N20003544,0.858,0.035,0.106
N20003545,0.913,0.0,0.087
N20003546,0.54,0.31,0.149
N20003547,0.878,0.077,0.045
N20003548,0.918,0.0,0.082
N20003549,0.923,0.013,0.064
N20003550,0.856,0.019,0.125
N20003551,0.963,0.005,0.032
N20003552,0.367,0.471,0.162
N20003553,0.929,0.016,0.055
N20003554,0.926,0.015,0.06
N20003555,0.706,0.179,0.115
N20003556,0.832,0.026,0.143
N20003557,0.846,0.0,0.154
N20003558,0.415,0.401,0.184
N20003559,0.796,0.01,0.194
N20003560,0.931,0.0,0.069
N20003561,0.52,0.012,0.467
N20003562,0.969,0.0,0.031
N20003563,0.365,0.375,0.26
N20003564,0.695,0.054,0.251
N20003565,0.95,0.006,0.043
N20003566,0.783,0.006,0.211
N20003567,0.941,0.0,0.059
N20003568,0.884,0.054,0.062
N20003569,0.833,0.021,0.146
N20003570,0.243,0.621,0.136
N20003571,0.469,0.418,0.113
N20003572,0.579,0.219,0.202
N20003573,0.567,0.305,0.129
N20003574,0.602,0.316,0.082
N20003575,0.971,0.0,0.029
N20003576,0.372,0.077,0.552
N20003577,0.579,0.277,0.144
N20003578,0.936,0.008,0.057
N20003579,0.696,0.113,0.19
N20003580,0.893,0.0,0.107
N20003581,0.902,0.045,0.053
N20003582,0.574,0.087,0.338
N20003583,0.872,0.037,0.091
N20003584,0.881,0.018,0.102
N20003585,0.925,0.01,0.065
N20003586,0.561,0.108,0.33
N20003587,0.879,0.005,0.116
N20003588,0.818,0.005,0.177
N20003589,0.897,0.004,0.099
N20003590,0.525,0.0,0.475
N20003591,0.971,0.01,0.02
N20003592,0.549,0.043,0.408
N20003593,0.354,0.427,0.22
N20003594,0.893,0.009,0.098
N20003595,0.81,0.004,0.187
N20003596,0.665,0.009,0.326
N20003597,0.686,0.071,0.243
N20003598,0.894,0.0,0.106
N20003599,0.443,0.111,0.446
N20003600,0.899,0.0,0.101
N20003601,0.875,0.0,0.125
N20003602,0.721,0.011,0.268
N20003603,0.707,0.102,0.191
N20003604,0.91,0.014,0.076
N20003605,0.724,0.068,0.208
N20003606,0.583,0.326,0.09
N20003607,0.485,0.242,0.273
N20003608,0.175,0.694,0.131
N20003609,0.201,0.608,0.191
N20003610,0.294,0.389,0.317
N20003611,0.85,0.013,0.138
N20003612,0.556,0.207,0.237
N20003613,0.886,0.006,0.108
N20003614,0.883,0.0,0.117
N20003615,0.907,0.0,0.093
N20003616,0.364,0.505,0.131
N20003617,0.312,0.479,0.208
N20003618,0.433,0.376,0.191
N20003619,0.868,0.026,0.106
N20003620,0.803,0.003,0.194
N20003621,0.847,0.006,0.148
N20003622,0.906,0.016,0.079
N20003623,0.906,0.013,0.082
N20003624,0.551,0.006,0.443
N20003625,0.872,0.05,0.078
N20003626,0.832,0.061,0.107
N20003627,0.874,0.0,0.126
N20003628,0.71,0.075,0.214
N20003629,0.769,0.062,0.169
N20003630,0.94,0.0,0.06
N20003631,0.514,0.044,0.443
N20003632,0.4,0.007,0.593
N20003633,0.113,0.801,0.086
N20003634,0.777,0.058,0.165
N20003635,0.691,0.129,0.18
N20003636,0.699,0.014,0.287
N20003637,0.832,0.043,0.125
N20003638,0.864,0.005,0.13
N20003639,0.916,0.005,0.079
N20003640,0.189,0.272,0.538
N20003641,0.709,0.02,0.27
N20003642,0.492,0.065,0.442
N20003643,0.445,0.359,0.195
N20003644,0.609,0.013,0.377
N20003645,0.908,0.004,0.088
N20003646,0.953,0.009,0.037
N20003647,0.937,0.0,0.063
N20003648,0.702,0.202,0.096
N20003649,0.819,0.004,0.176
N20003650,0.877,0.003,0.12
N20003651,0.407,0.451,0.142
N20003652,0.886,0.0,0.114
N20003653,0.299,0.536,0.165
N20003654,0.202,0.46,0.338
N20003655,0.571,0.16,0.269
N20003656,0.44,0.311,0.249
N20003657,0.491,0.385,0.124
N20003658,0.957,0.0,0.043
N20003659,0.388,0.34,0.273
N20003660,0.219,0.692,0.089
N20003661,0.591,0.106,0.303
N20003662,0.27,0.589,0.141
N20003663,0.239,0.675,0.086
N20003664,0.655,0.216,0.129
N20003665,0.315,0.492,0.194
N20003666,0.174,0.734,0.092
N20003667,0.782,0.0,0.218
N20003668,0.367,0.447,0.186
N20003669,0.905,0.017,0.078
N20003670,0.502,0.303,0.194
N20003671,0.464,0.271,0.265
N20003672,0.934,0.0,0.066
N20003673,0.733,0.011,0.256
N20003674,0.902,0.009,0.089
N20003675,0.87,0.005,0.124
N20003676,0.77,0.0,0.23
N20003677,0.308,0.571,0.121
N20003678,0.758,0.011,0.232
N20003679,0.958,0.0,0.042
N20003680,0.797,0.035,0.168
N20003681,0.918,0.006,0.076
N20003682,0.495,0.328,0.176
N20003683,0.938,0.0,0.062
N20003684,0.973,0.005,0.023
N20003685,0.852,0.015,0.133
N20003686,0.919,0.0,0.081
N20003687,0.919,0.006,0.075
N20003688,0.921,0.007,0.072
N20003689,0.89,0.006,0.104
N20003690,0.958,0.0,0.042
N20003691,0.946,0.0,0.054
N20003692,0.387,0.514,0.099
N20003693,0.93,0.0,0.07
N20003694,0.923,0.006,0.072
N20003695,0.922,0.0,0.078
N20003696,0.954,0.0,0.046
N20003697,0.976,0.0,0.024
N20003698,0.894,0.0,0.106
N20003699,0.887,0.005,0.108
N20003700,0.92,0.0,0.08
N20003701,0.964,0.0,0.036
N20003702,0.949,0.0,0.051
N20003703,0.712,0.019,0.269
N20003704,0.923,0.004,0.073
N20003705,0.908,0.0,0.092
N20003706,0.967,0.007,0.026
N20003707,0.486,0.178,0.336
N20003708,0.88,0.008,0.112
N20003709,0.887,0.004,0.109
N20003710,0.935,0.0,0.065
N20003711,0.389,0.201,0.409
N20003712,0.846,0.019,0.135
N20003713,0.523,0.309,0.168
N20003714,0.937,0.005,0.059
N20003715,0.688,0.062,0.25
N20003716,0.87,0.005,0.125
N20003717,0.925,0.007,0.067
N20003718,0.498,0.266,0.236
N20003719,0.976,0.0,0.024
N20003720,0.254,0.536,0.211
N20003721,0.773,0.153,0.074
N20003722,0.918,0.014,0.067
N20003723,0.349,0.538,0.112
N20003724,0.912,0.0,0.088
N20003725,0.664,0.202,0.134
N20003726,0.877,0.043,0.08
N20003727,0.907,0.006,0.086
N20003728,0.936,0.005,0.059
N20003729,0.908,0.005,0.087
N20003730,0.866,0.028,0.106
N20003731,0.935,0.0,0.065
N20003732,0.551,0.137,0.312
N20003733,0.885,0.019,0.096
N20003734,0.866,0.008,0.126
N20003735,0.408,0.424,0.167
N20003736,0.838,0.007,0.154
N20003737,0.833,0.08,0.087
N20003738,0.921,0.004,0.075
N20003739,0.947,0.006,0.047
N20003740,0.914,0.021,0.064
N20003741,0.536,0.279,0.184
N20003742,0.636,0.185,0.179
N20003743,0.91,0.01,0.08
N20003744,0.826,0.042,0.132
N20003745,0.783,0.086,0.131
N20003746,0.8,0.026,0.174
N20003747,0.909,0.028,0.062
N20003748,0.923,0.006,0.071
N20003749,0.573,0.165,0.262
N20003750,0.553,0.288,0.16
N20003751,0.531,0.24,0.229
N20003752,0.87,0.068,0.062
N20003753,0.527,0.133,0.339
N20003754,0.559,0.231,0.21
N20003755,0.798,0.022,0.18
N20003756,0.511,0.23,0.26
N20003757,0.835,0.004,0.162
N20003758,0.696,0.03,0.274
N20003759,0.473,0.197,0.33
N20003760,0.851,0.04,0.109
N20003761,0.897,0.022,0.082
N20003762,0.869,0.0,0.131
N20003763,0.781,0.046,0.173
N20003764,0.893,0.0,0.107
N20003765,0.487,0.282,0.231
N20003766,0.771,0.034,0.195
N20003767,0.901,0.053,0.046
N20003768,0.769,0.09,0.141
N20003769,0.864,0.0,0.136
N20003770,0.782,0.084,0.134
N20003771,0.88,0.015,0.105
N20003772,0.742,0.056,0.202
N20003773,0.82,0.035,0.145
N20003774,0.795,0.048,0.157
N20003775,0.52,0.217,0.262
N20003776,0.82,0.019,0.161
N20003777,0.505,0.255,0.24
N20003778,0.622,0.119,0.259
N20003779,0.472,0.307,0.221
N20003780,0.826,0.052,0.122
